Location,Latitude,Longitude,Country,County,Reported Location,Crash ID,Crash Date,Year,Month,Crash Time,Quarter of the day,Crash Type,Severity,Pedestrians,Pedestrian Casualties
"-35.423782, 149.07382",-35.423782,149.07382,"Australian Capital Territory, Anketell Street, Greenway 2900, Australia", Greenway 2900,ANKETELL STREET (CYNTHEA TEAGUE -> ATHLLON),1113380,23/06/2015,2015,June,08:55,Morning,Struck pedestrian (On Road),Injury,1,1
"-35.278509, 149.130633",-35.278509,149.130633,"City Bus Station, Australian Capital Territory, Alinga Street, City 2601, Australia", City 2601,ALINGA/CITY/EAST/MORT INTERSECTION,1169588,29/09/2017,2017,September,18:45,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.415367, 149.0745",-35.415367,149.0745,"Australian Capital Territory, Erindale Drive, Greenway 2900, Australia", Greenway 2900,DRAKEFORD/ERINDALE/SOWARD INTERSECTION,1153287,06/01/2017,2017,January,13:00,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.190823, 149.160492",-35.190823,149.160492,"Horse Park Drive before Dugong Way, Australian Capital Territory, Horse Park Drive, Throsby 2914, Australia", Throsby 2914,HORSE PARK DRIVE (MAPLETON / DUGONG -> ANTHONY ROLFE / GECKO),1097396,18/09/2014,2014,September,16:15,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.415202, 149.130706",-35.415202,149.130706,"Hambidge Crescent before Proctor Street, Australian Capital Territory, Hambidge Crescent, Chisholm 2905, Australia", Chisholm 2905,HAMBIDGE CRESCENT (HALLEY / HEAGNEY -> PROCTOR),1132069,31/03/2016,2016,March,17:20,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.325801, 149.082858",-35.325801,149.082858,"Curtin Shops, Coles, Australian Capital Territory, 51 Curtin Place, Curtin 2605, Australia", Curtin 2605,CURTIN PLACE EAST CARPARK (CURTIN PLACE EAST -> CURTIN PLACE EAST),1139608,11/05/2016,2016,May,12:05,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.373678, 149.055586",-35.373678,149.055586,"Australian Capital Territory, Sulwood Drive, Kambah 2902, Australia", Kambah 2902,SULWOOD DRIVE (DRAKEFORD / TUGGERANONG -> KAMBAH POOL / NAMATJIRA),1074310,11/11/2013,2013,November,16:00,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.276069, 149.129625",-35.276069,149.129625,"Australian Capital Territory, Northbourne Avenue, City 2601, Australia", City 2601,NORTHBOURNE AVENUE (BUNDA / RUDD -> BARRY / COOYONG),1086009,28/04/2014,2014,April,15:45,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.2672, 149.13246",-35.2672,149.13246,"Australian Capital Territory, 80 Henty Street, Braddon 2612, Australia", Braddon 2612,HENTY STREET (IPIMA / LOWANNA -> IJONG),1061218,10/02/2013,2013,February,05:15,Night,Struck pedestrian (On Road),Injury,2,2
"-35.246318, 149.101189",-35.246318,149.101189,"Australian Capital Territory, Leverrier Street, Bruce 2617, Australia", Bruce 2617,LEVERRIER STREET (BATTYE -> MASTERMAN),1052921,07/01/2013,2013,January,16:10,Afternoon,Struck pedestrian (On Road),Injury,2,2
"-35.279316, 149.129927",-35.279316,149.129927,"Sydney Building, Australian Capital Territory, Sydney Building, Verity Lane, City 2601, Australia", City 2601,VERITY LANE (LONDON -> ALINGA),1042939,24/08/2012,2012,August,03:25,Night,Struck pedestrian (On Road),Injury,1,1
"-35.320101, 149.137845",-35.320101,149.137845,"Embassy of the Russian Federation, Australian Capital Territory, 78 Canberra Avenue, Griffith 2603, Australia", Griffith 2603,CANBERRA AVENUE (GILES -> EYRE / LEFROY),1133758,25/04/2016,2016,April,16:20,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.205046, 149.034005",-35.205046,149.034005,"Charnwood Shops, Australian Capital Territory, Charnwood Place, Charnwood 2615, Australia", Charnwood 2615,CHARNWOOD PLACE SHOPPING CENTER (LHOTSKY -> CHARNWOOD (END)),1135036,22/05/2016,2016,May,11:45,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.272862, 149.119297",-35.272862,149.119297,"Barry Drive before Clunies Ross Street, Australian Capital Territory, Barry Drive, Acton 2601, Australia", Acton 2601,BARRY DRIVE (CLUNIES ROSS / FROGGATT -> BOLDREWOOD),1070692,18/06/2013,2013,June,08:30,Morning,Struck pedestrian (On Road),Injury,1,1
